iter	Passed	Remaining
471	695	778
472	696	776
473	698	775
474	699	773
475	700	771
476	701	769
477	703	767
478	704	765
479	705	764
480	706	762
481	707	760
482	708	758
483	709	756
484	710	754
485	711	752
486	713	751
487	714	749
488	715	747
489	716	745
490	717	744
491	718	742
492	720	740
493	721	738
494	722	737
495	723	735
496	724	733
497	725	731
498	726	729
499	727	727
500	729	726
501	730	724
502	731	722
503	732	720
504	733	719
505	735	717
506	736	716
507	737	714
508	738	712
509	739	710
510	741	709
511	742	707
512	743	705
513	744	704
514	746	702
515	747	700
516	748	699
517	749	697
518	750	695
519	751	694
520	752	692
521	754	690
522	755	688
523	756	687
524	757	685
525	758	683
526	759	682
527	761	680
528	762	678
529	763	677
530	764	675
531	765	673
532	766	672
533	768	670
534	769	668
535	770	666
536	771	665
537	772	663
538	773	661
539	774	660
540	776	658
541	777	656
542	778	655
543	779	653
544	780	651
545	781	649
546	782	648
547	783	646
548	785	645
549	786	643
550	787	641
551	788	640
552	790	638
553	791	637
554	792	635
555	794	634
556	795	632
557	796	631
558	797	629
559	799	627
560	800	626
561	801	624
562	802	622
563	803	621
564	804	619
565	806	618
566	807	616
567	808	614
568	809	613
569	810	611
570	811	609
571	812	608
572	814	606
573	815	604
574	816	603
575	817	601
576	818	599
577	819	598
578	820	596
579	821	595
580	823	593
581	824	591
582	825	590
583	826	588
584	828	587
585	829	585
586	830	584
587	831	582
588	833	581
589	834	579
590	835	578
591	837	576
592	838	575
593	839	573
594	840	572
595	841	570
596	842	569
597	844	567
598	845	565
599	846	564
600	847	562
601	848	561
602	849	559
603	850	557
604	852	556
605	852	554
606	854	553
607	855	551
608	856	549
609	857	548
610	858	546
611	859	545
612	861	543
613	862	541
614	863	540
615	864	538
616	865	537
617	866	535
618	867	533
619	868	532
620	869	530
621	870	529
622	871	527
623	872	525
624	873	524
625	875	522
626	876	521
627	877	519
628	878	518
629	879	516
630	880	514
631	881	513
632	883	512
633	884	510
634	885	508
635	886	507
636	887	505
637	888	504
638	890	502
639	891	501
640	892	499
641	893	498
642	895	496
643	896	495
644	897	494
645	898	492
646	899	490
647	900	489
648	902	487
649	903	486
650	904	484
651	905	483
652	906	481
653	907	480
654	908	478
655	909	477
656	910	475
657	912	474
658	913	472
659	914	471
660	915	469
661	916	467
662	917	466
663	918	464
664	919	463
665	920	461
666	922	460
667	923	458
668	924	457
669	925	455
670	926	454
671	927	452
672	928	451
673	929	449
674	931	448
675	932	446
676	933	445
677	934	443
678	935	442
679	937	441
680	938	439
681	939	438
682	940	436
683	942	435
684	943	433
685	944	432
686	945	430
687	947	429
688	948	428
689	949	426
690	950	425
691	952	423
692	953	422
693	954	420
694	955	419
695	956	417
696	958	416
697	959	415
698	960	413
699	961	412
700	962	410
701	963	409
702	964	407
703	966	406
704	967	404
705	968	403
706	969	401
707	970	400
708	972	399
709	973	397
710	974	396
711	975	394
712	976	393
713	977	391
714	978	390
715	980	388
716	981	387
717	982	385
718	983	384
719	984	382
720	985	381
721	987	380
722	988	378
723	989	377
724	990	375
725	991	374
726	992	372
727	994	371
728	995	369
729	996	368
730	997	367
731	998	365
732	999	364
733	1001	362
734	1002	361
735	1003	359
736	1004	358
737	1005	356
738	1006	355
739	1007	354
740	1009	352
741	1010	351
742	1011	349
743	1012	348
744	1013	346
745	1014	345
746	1015	344
747	1017	342
748	1018	341
749	1019	339
750	1021	338
751	1022	337
752	1023	335
753	1025	334
754	1026	333
755	1027	331
756	1028	330
757	1030	328
758	1031	327
759	1032	326
760	1034	324
761	1035	323
762	1037	322
763	1038	320
764	1039	319
765	1041	318
766	1042	316
767	1043	315
768	1044	313
769	1046	312
770	1047	311
771	1048	309
772	1050	308
773	1051	307
774	1052	305
775	1053	304
776	1055	302
777	1056	301
778	1057	300
779	1058	298
780	1059	297
781	1061	295
782	1062	294
783	1063	293
784	1064	291
785	1066	290
786	1067	288
787	1068	287
788	1069	286
789	1070	284
790	1071	283
791	1072	281
792	1074	280
793	1075	279
794	1076	277
795	1077	276
796	1078	274
797	1080	273
798	1081	272
799	1082	270
800	1083	269
801	1084	267
802	1086	266
803	1087	265
804	1088	263
805	1089	262
806	1091	260
807	1092	259
808	1093	258
809	1094	256
810	1096	255
811	1097	254
812	1098	252
813	1099	251
814	1101	249
815	1102	248
816	1103	247
817	1104	245
818	1106	244
819	1107	243
820	1108	241
821	1109	240
822	1110	238
823	1111	237
824	1112	236
825	1113	234
826	1115	233
827	1116	231
828	1117	230
829	1118	229
830	1119	227
831	1120	226
832	1122	224
833	1123	223
834	1124	222
835	1125	220
836	1126	219
837	1128	218
838	1129	216
839	1130	215
840	1131	213
841	1132	212
842	1133	211
843	1135	209
844	1136	208
845	1137	207
846	1139	205
847	1140	204
848	1141	203
849	1142	201
850	1143	200
851	1145	198
852	1146	197
853	1147	196
854	1148	194
855	1149	193
856	1151	192
857	1152	190
858	1153	189
859	1154	187
860	1155	186
861	1156	185
862	1158	183
863	1159	182
864	1160	181
865	1161	179
866	1163	178
867	1164	177
868	1165	175
869	1166	174
870	1168	172
871	1169	171
872	1170	170
873	1171	168
874	1172	167
875	1174	166
876	1175	164
877	1176	163
878	1177	162
879	1178	160
880	1179	159
881	1181	158
882	1182	156
883	1183	155
884	1184	153
885	1185	152
886	1187	151
887	1188	149
888	1189	148
889	1190	147
890	1191	145
891	1192	144
892	1193	143
893	1194	141
894	1196	140
895	1197	138
896	1198	137
897	1199	136
898	1200	134
899	1201	133
900	1203	132
901	1204	130
902	1205	129
903	1206	128
904	1207	126
905	1208	125
906	1209	124
907	1210	122
908	1211	121
909	1213	119
910	1214	118
911	1215	117
912	1216	115
913	1217	114
914	1218	113
915	1220	111
916	1221	110
917	1222	109
918	1223	107
919	1225	106
920	1226	105
921	1228	103
922	1229	102
923	1230	101
924	1232	99
925	1233	98
926	1234	97
927	1235	95
928	1236	94
929	1238	93
930	1239	91
931	1240	90
932	1241	89
933	1242	87
934	1244	86
935	1245	85
936	1246	83
937	1247	82
938	1248	81
939	1250	79
940	1251	78
941	1252	77
942	1253	75
943	1254	74
944	1255	73
945	1257	71
946	1258	70
947	1259	69
948	1260	67
949	1261	66
950	1262	65
951	1263	63
952	1265	62
953	1266	61
954	1267	59
955	1268	58
956	1269	57
957	1270	55
958	1271	54
959	1272	53
960	1273	51
961	1275	50
962	1276	49
963	1277	47
964	1278	46
965	1279	45
966	1280	43
967	1282	42
968	1283	41
969	1284	39
970	1285	38
971	1286	37
972	1287	35
973	1289	34
974	1290	33
975	1291	31
976	1292	30
977	1293	29
978	1295	27
979	1296	26
980	1297	25
981	1298	23
982	1299	22
983	1300	21
984	1301	19
985	1303	18
986	1304	17
987	1305	15
988	1307	14
989	1308	13
990	1309	11
991	1310	10
992	1312	9
993	1313	7
994	1314	6
995	1315	5
996	1317	3
997	1318	2
998	1319	1
999	1320	0
